item_wand_starting_wand_blue,"Starting Wand: Blue",,,,,,,,"初始蓝杖",,,,,,,,,,,,,,,,
item_wand_starting_wand_red,"Starting Wand: Red",,,,,,,,"初始红杖",,,,,,,,,,,,,,,,
animal_playerghost,Kummitus,Куммитус,,,,,,,历史幻影,クッミタス,쿠미투스,,,,,,,,,,,,,
empty_teleport_pyramid,"Portal to the top of Pyramid",,,,,,,,"去往 金字塔顶 的传送门",,,,,,,,,,,,,,,
perk_empty_extract_always_cast,Extract always cast,,,,,,,,提取始终释放（一次性）,,,,,,,,,,,,,,,,
perkdesc_empty_extract_always_cast,Extract all always-cast spells from all wands in your inventory,,,,,,,,提取你物品栏中所有法杖的所有始终释放,,,,,,,,,,,,,,,,
perk_empty_reduce_reroll_count,Reduce reroll count,,,,,,,,降低刷新计数（一次性）,,,,,,,,,,,,,,,,
perkdesc_empty_reduce_reroll_count,-3 perk reroll count,,,,,,,,-3 天赋刷新计数,,,,,,,,,,,,,,,,
perk_empty_fungal_shift_add_capacity,Increase fungal shift capacity,,,,,,,,增加真菌现实变换上限（一次性）,,,,,,,,,,,,,,,,
perkdesc_empty_fungal_shift_add_capacity,+5 fungal shift capacity,,,,,,,,+5 真菌现实变换次数上限,,,,,,,,,,,,,,,,
perk_empty_berserk_blood,Berserk Blood,,,,,,,,狂暴血液,,,,,,,,,,,,,,,,
perkdesc_empty_berserk_blood,You bleed magic liquid of berserk,,,,,,,,你流血时会淌出狂暴基质,,,,,,,,,,,,,,,,
perk_empty_teleport_blood,Teleport Blood,,,,,,,,传送血液,,,,,,,,,,,,,,,,
perkdesc_empty_teleport_blood,You bleed magic liquid of teleportation\nadditionally get [ Teleport Immunity ] perk when get this perk,,,,,,,,你流血时会淌出传送基质\n获得此天赋时额外获得 [ 传送免疫 ] 天赋,,,,,,,,,,,,,,,,
perk_empty_freeze_blood,Freeze Blood,,,,,,,,冰冷血液,,,,,,,,,,,,,,,,
perkdesc_empty_freeze_blood,You bleed freezing liquid\nadditionally get [ Freeze Immunity ] perk when get this perk,,,,,,,,你流血时会淌出冰冷液体\n获得此天赋时额外获得 [ 冰冷免疫 ] 天赋,,,,,,,,,,,,,,,,
perk_empty_lava_blood,Lava Blood,,,,,,,,熔岩血液,,,,,,,,,,,,,,,,
perkdesc_empty_lava_blood,You bleed scorching lava\nadditionally get [ Lava Immunity ] perk when get this perk,,,,,,,,你流血时会淌出炽热熔岩\n获得此天赋时额外获得 [ 熔岩免疫 ] 天赋,,,,,,,,,,,,,,,,
perk_empty_acid_blood,Acid Blood,,,,,,,,酸液血液,,,,,,,,,,,,,,,,
perkdesc_empty_acid_blood,You bleed corrosive acid\nadditionally get [ Acid Immunity ] perk when get this perk,,,,,,,,你流血时会淌出腐蚀酸液\n获得此天赋时额外获得 [ 酸液免疫 ] 天赋,,,,,,,,,,,,,,,,
perk_empty_polymorph_blood,Polymorph Blood,,,,,,,,变形血液,,,,,,,,,,,,,,,,
perkdesc_empty_polymorph_blood,You bleed magic liquid of polymorph\nadditionally get [ Polymorph Immunity ] perk when get this perk,,,,,,,,你流血时会淌出变形基质\n获得此天赋时额外获得 [ 变形免疫 ] 天赋,,,,,,,,,,,,,,,,
perk_empty_protection_glue,Glue Immunity,,,,,,,,胶球免疫,,,,,,,,,,,,,,,,
perkdesc_empty_protection_glue,You can no longer get stuck by glue ball,,,,,,,,你不再能被胶球粘住,,,,,,,,,,,,,,,,
perk_empty_protection_shock,Shock Immunity,,,,,,,,冲击免疫,,,,,,,,,,,,,,,,
perkdesc_empty_protection_shock,"You take no damege from kinetic, heavy impact and gravity well",,,,,,,,冲击、沉重冲击、引力井不会对你造成伤害,,,,,,,,,,,,,,,,
perk_empty_protection_freeze,Freeze Immunity,,,,,,,,冰冷免疫,,,,,,,,,,,,,,,,
perkdesc_empty_protection_freeze,"You cannot be frozen and take no damage from cold materials",,,,,,,,"你无法被冰冻, 寒冷物质不会对你造成伤害",,,,,,,,,,,,,,,,
perk_empty_protection_venomous_curse,Venomous Curse Immunity,,,,,,,,猛毒免疫,,,,,,,,,,,,,,,,
perkdesc_empty_protection_venomous_curse,"You take no damege from venomous curse\n-50% curse damage you take",,,,,,,,"猛毒诅咒不会对你造成伤害\n-50% 受到的诅咒伤害",,,,,,,,,,,,,,,,
perk_empty_protection_lava,Lava Immunity,,,,,,,,熔岩免疫,,,,,,,,,,,,,,,,
perkdesc_empty_protection_lava,You take no damege from lava,,,,,,,,熔岩不会对你造成伤害,,,,,,,,,,,,,,,,
perk_empty_protection_acid,Acid Immunity,,,,,,,,酸液免疫,,,,,,,,,,,,,,,,
perkdesc_empty_protection_acid,You take no damege from acid,,,,,,,,酸液不会对你造成伤害,,,,,,,,,,,,,,,,
perk_empty_protection_teleport,Teleport Immunity,,,,,,,,传送免疫,,,,,,,,,,,,,,,,
perkdesc_empty_protection_teleport,You can no longer be teleported,,,,,,,,你不再能被传送,,,,,,,,,,,,,,,,
perk_empty_protection_slice,Slice Immunity,,,,,,,,锯刃免疫,,,,,,,,,,,,,,,,
perkdesc_empty_protection_slice,You take no damege from slice,,,,,,,,锯刃不会对你造成伤害,,,,,,,,,,,,,,,,
perk_empty_protection_poison,Poison Immunity,,,,,,,,紫毒免疫,,,,,,,,,,,,,,,,
perkdesc_empty_protection_poison,You take no damege from poison,,,,,,,,紫毒不会对你造成伤害,,,,,,,,,,,,,,,,
perk_empty_protection_touch_magic,Touch Magic Immunity,,,,,,,,点金免疫,,,,,,,,,,,,,,,,
